"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"11","Phase ~ diff_VH1","rf",1676,716,1,"noProc",11,0.408711217183771,0.211614956245028,0.435754189944134,0.247672253258845,0.399065124193098,0.472974695933822,0.25,2.32453810893162e-27,0.939360995704655,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.811918063314711,0.813780260707635,0.845437616387337,0.776536312849162,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.795620437956204,0.824528301886792,0.829981718464351,0.797323135755258,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.386167146974063,0.471232876712329,0.494252873563218,0.39247311827957,0.25,0.25,0.25,0.25,0.0935754189944134,0.120111731843575,0.120111731843575,0.10195530726257,0.23463687150838,0.259776536312849,0.236033519553073,0.269553072625698,0.593109869646183,0.647113594040968,0.662942271880819,0.592178770949721
"12","Phase ~ diff_VH1","rf",1676,716,1,"noProc",12,0.409307875894988,0.212410501193317,0.435754189944134,0.247672253258845,0.399065124193098,0.472974695933822,0.25,2.32453810893162e-27,0.939360995704655,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.811918063314711,0.813780260707635,0.845437616387337,0.776536312849162,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.795620437956204,0.824528301886792,0.829981718464351,0.797323135755258,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.386167146974063,0.471232876712329,0.494252873563218,0.39247311827957,0.25,0.25,0.25,0.25,0.0935754189944134,0.120111731843575,0.120111731843575,0.10195530726257,0.23463687150838,0.259776536312849,0.236033519553073,0.269553072625698,0.593109869646183,0.647113594040968,0.662942271880819,0.592178770949721
"13","Phase ~ diff_VH1","rf",1676,716,1,"noProc",13,0.409307875894988,0.212410501193317,0.435754189944134,0.247672253258845,0.399065124193098,0.472974695933822,0.25,2.32453810893162e-27,0.939360995704655,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.811918063314711,0.813780260707635,0.845437616387337,0.776536312849162,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.795620437956204,0.824528301886792,0.829981718464351,0.797323135755258,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.386167146974063,0.471232876712329,0.494252873563218,0.39247311827957,0.25,0.25,0.25,0.25,0.0935754189944134,0.120111731843575,0.120111731843575,0.10195530726257,0.23463687150838,0.259776536312849,0.236033519553073,0.269553072625698,0.593109869646183,0.647113594040968,0.662942271880819,0.592178770949721
"14","Phase ~ diff_VH1","rf",1676,716,1,"noProc",14,0.409307875894988,0.212410501193317,0.435754189944134,0.247672253258845,0.399065124193098,0.472974695933822,0.25,2.32453810893162e-27,0.939360995704655,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.811918063314711,0.813780260707635,0.845437616387337,0.776536312849162,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.795620437956204,0.824528301886792,0.829981718464351,0.797323135755258,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.386167146974063,0.471232876712329,0.494252873563218,0.39247311827957,0.25,0.25,0.25,0.25,0.0935754189944134,0.120111731843575,0.120111731843575,0.10195530726257,0.23463687150838,0.259776536312849,0.236033519553073,0.269553072625698,0.593109869646183,0.647113594040968,0.662942271880819,0.592178770949721
"15","Phase ~ diff_VH1","rf",1676,716,1,"noProc",15,0.409307875894988,0.212410501193317,0.435754189944134,0.247672253258845,0.399065124193098,0.472974695933822,0.25,2.32453810893162e-27,0.939360995704655,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.811918063314711,0.813780260707635,0.845437616387337,0.776536312849162,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.795620437956204,0.824528301886792,0.829981718464351,0.797323135755258,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.386167146974063,0.471232876712329,0.494252873563218,0.39247311827957,0.25,0.25,0.25,0.25,0.0935754189944134,0.120111731843575,0.120111731843575,0.10195530726257,0.23463687150838,0.259776536312849,0.236033519553073,0.269553072625698,0.593109869646183,0.647113594040968,0.662942271880819,0.592178770949721
"16","Phase ~ diff_VH1","rf",1676,716,1,"noProc",16,0.409307875894988,0.212410501193317,0.435754189944134,0.247672253258845,0.399065124193098,0.472974695933822,0.25,2.32453810893162e-27,0.939360995704655,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.811918063314711,0.813780260707635,0.845437616387337,0.776536312849162,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.795620437956204,0.824528301886792,0.829981718464351,0.797323135755258,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.386167146974063,0.471232876712329,0.494252873563218,0.39247311827957,0.25,0.25,0.25,0.25,0.0935754189944134,0.120111731843575,0.120111731843575,0.10195530726257,0.23463687150838,0.259776536312849,0.236033519553073,0.269553072625698,0.593109869646183,0.647113594040968,0.662942271880819,0.592178770949721
"17","Phase ~ diff_VH1","rf",1676,716,1,"noProc",17,0.408711217183771,0.211614956245028,0.435754189944134,0.247672253258845,0.399065124193098,0.472974695933822,0.25,2.32453810893162e-27,0.939360995704655,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.811918063314711,0.813780260707635,0.845437616387337,0.776536312849162,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.795620437956204,0.824528301886792,0.829981718464351,0.797323135755258,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.386167146974063,0.471232876712329,0.494252873563218,0.39247311827957,0.25,0.25,0.25,0.25,0.0935754189944134,0.120111731843575,0.120111731843575,0.10195530726257,0.23463687150838,0.259776536312849,0.236033519553073,0.269553072625698,0.593109869646183,0.647113594040968,0.662942271880819,0.592178770949721
"18","Phase ~ diff_VH1","rf",1676,716,1,"noProc",18,0.409307875894988,0.212410501193317,0.435754189944134,0.247672253258845,0.399065124193098,0.472974695933822,0.25,2.32453810893162e-27,0.939360995704655,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.811918063314711,0.813780260707635,0.845437616387337,0.776536312849162,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.795620437956204,0.824528301886792,0.829981718464351,0.797323135755258,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.386167146974063,0.471232876712329,0.494252873563218,0.39247311827957,0.25,0.25,0.25,0.25,0.0935754189944134,0.120111731843575,0.120111731843575,0.10195530726257,0.23463687150838,0.259776536312849,0.236033519553073,0.269553072625698,0.593109869646183,0.647113594040968,0.662942271880819,0.592178770949721
"19","Phase ~ diff_VH1","rf",1676,716,1,"noProc",19,0.409307875894988,0.212410501193317,0.435754189944134,0.247672253258845,0.399065124193098,0.472974695933822,0.25,2.32453810893162e-27,0.939360995704655,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.811918063314711,0.813780260707635,0.845437616387337,0.776536312849162,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.795620437956204,0.824528301886792,0.829981718464351,0.797323135755258,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.386167146974063,0.471232876712329,0.494252873563218,0.39247311827957,0.25,0.25,0.25,0.25,0.0935754189944134,0.120111731843575,0.120111731843575,0.10195530726257,0.23463687150838,0.259776536312849,0.236033519553073,0.269553072625698,0.593109869646183,0.647113594040968,0.662942271880819,0.592178770949721
"20","Phase ~ diff_VH1","rf",1676,716,1,"noProc",20,0.408711217183771,0.211614956245028,0.435754189944134,0.247672253258845,0.399065124193098,0.472974695933822,0.25,2.32453810893162e-27,0.939360995704655,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.811918063314711,0.813780260707635,0.845437616387337,0.776536312849162,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.795620437956204,0.824528301886792,0.829981718464351,0.797323135755258,0.398809523809524,0.462365591397849,0.50887573964497,0.378238341968912,0.374301675977654,0.480446927374302,0.480446927374302,0.407821229050279,0.386167146974063,0.471232876712329,0.494252873563218,0.39247311827957,0.25,0.25,0.25,0.25,0.0935754189944134,0.120111731843575,0.120111731843575,0.10195530726257,0.23463687150838,0.259776536312849,0.236033519553073,0.269553072625698,0.593109869646183,0.647113594040968,0.662942271880819,0.592178770949721
