"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"11","Phase ~ VH2","rf",1676,716,1,"noProc",11,0.386634844868735,0.182179793158313,0.384078212290503,0.17877094972067,0.348294948370292,0.420820832980369,0.25,1.78972803115688e-15,0.703043714573611,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.759776536312849,0.836126629422719,0.80074487895717,0.782122905027933,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.777142857142857,0.842401500938086,0.771992818671454,0.787992495309568,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.335135135135135,0.524861878453039,0.307692307692308,0.364640883977901,0.25,0.25,0.25,0.25,0.0865921787709497,0.13268156424581,0.0726256983240224,0.0921787709497207,0.266759776536313,0.255586592178771,0.222067039106145,0.255586592178771,0.553072625698324,0.68342644320298,0.545623836126629,0.575418994413408
"12","Phase ~ VH2","rf",1676,716,1,"noProc",12,0.387231503579952,0.182975338106603,0.384078212290503,0.17877094972067,0.348294948370292,0.420820832980369,0.25,1.78972803115688e-15,0.703043714573611,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.759776536312849,0.836126629422719,0.80074487895717,0.782122905027933,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.777142857142857,0.842401500938086,0.771992818671454,0.787992495309568,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.335135135135135,0.524861878453039,0.307692307692308,0.364640883977901,0.25,0.25,0.25,0.25,0.0865921787709497,0.13268156424581,0.0726256983240224,0.0921787709497207,0.266759776536313,0.255586592178771,0.222067039106145,0.255586592178771,0.553072625698324,0.68342644320298,0.545623836126629,0.575418994413408
"13","Phase ~ VH2","rf",1676,716,1,"noProc",13,0.386038186157518,0.181384248210024,0.384078212290503,0.17877094972067,0.348294948370292,0.420820832980369,0.25,1.78972803115688e-15,0.703043714573611,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.759776536312849,0.836126629422719,0.80074487895717,0.782122905027933,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.777142857142857,0.842401500938086,0.771992818671454,0.787992495309568,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.335135135135135,0.524861878453039,0.307692307692308,0.364640883977901,0.25,0.25,0.25,0.25,0.0865921787709497,0.13268156424581,0.0726256983240224,0.0921787709497207,0.266759776536313,0.255586592178771,0.222067039106145,0.255586592178771,0.553072625698324,0.68342644320298,0.545623836126629,0.575418994413408
"14","Phase ~ VH2","rf",1676,716,1,"noProc",14,0.386038186157518,0.181384248210024,0.384078212290503,0.17877094972067,0.348294948370292,0.420820832980369,0.25,1.78972803115688e-15,0.703043714573611,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.759776536312849,0.836126629422719,0.80074487895717,0.782122905027933,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.777142857142857,0.842401500938086,0.771992818671454,0.787992495309568,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.335135135135135,0.524861878453039,0.307692307692308,0.364640883977901,0.25,0.25,0.25,0.25,0.0865921787709497,0.13268156424581,0.0726256983240224,0.0921787709497207,0.266759776536313,0.255586592178771,0.222067039106145,0.255586592178771,0.553072625698324,0.68342644320298,0.545623836126629,0.575418994413408
"15","Phase ~ VH2","rf",1676,716,1,"noProc",15,0.386634844868735,0.182179793158313,0.384078212290503,0.17877094972067,0.348294948370292,0.420820832980369,0.25,1.78972803115688e-15,0.703043714573611,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.759776536312849,0.836126629422719,0.80074487895717,0.782122905027933,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.777142857142857,0.842401500938086,0.771992818671454,0.787992495309568,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.335135135135135,0.524861878453039,0.307692307692308,0.364640883977901,0.25,0.25,0.25,0.25,0.0865921787709497,0.13268156424581,0.0726256983240224,0.0921787709497207,0.266759776536313,0.255586592178771,0.222067039106145,0.255586592178771,0.553072625698324,0.68342644320298,0.545623836126629,0.575418994413408
"16","Phase ~ VH2","rf",1676,716,1,"noProc",16,0.386038186157518,0.181384248210024,0.384078212290503,0.17877094972067,0.348294948370292,0.420820832980369,0.25,1.78972803115688e-15,0.703043714573611,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.759776536312849,0.836126629422719,0.80074487895717,0.782122905027933,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.777142857142857,0.842401500938086,0.771992818671454,0.787992495309568,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.335135135135135,0.524861878453039,0.307692307692308,0.364640883977901,0.25,0.25,0.25,0.25,0.0865921787709497,0.13268156424581,0.0726256983240224,0.0921787709497207,0.266759776536313,0.255586592178771,0.222067039106145,0.255586592178771,0.553072625698324,0.68342644320298,0.545623836126629,0.575418994413408
"17","Phase ~ VH2","rf",1676,716,1,"noProc",17,0.387231503579952,0.182975338106603,0.384078212290503,0.17877094972067,0.348294948370292,0.420820832980369,0.25,1.78972803115688e-15,0.703043714573611,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.759776536312849,0.836126629422719,0.80074487895717,0.782122905027933,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.777142857142857,0.842401500938086,0.771992818671454,0.787992495309568,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.335135135135135,0.524861878453039,0.307692307692308,0.364640883977901,0.25,0.25,0.25,0.25,0.0865921787709497,0.13268156424581,0.0726256983240224,0.0921787709497207,0.266759776536313,0.255586592178771,0.222067039106145,0.255586592178771,0.553072625698324,0.68342644320298,0.545623836126629,0.575418994413408
"18","Phase ~ VH2","rf",1676,716,1,"noProc",18,0.385441527446301,0.180588703261734,0.384078212290503,0.17877094972067,0.348294948370292,0.420820832980369,0.25,1.78972803115688e-15,0.703043714573611,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.759776536312849,0.836126629422719,0.80074487895717,0.782122905027933,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.777142857142857,0.842401500938086,0.771992818671454,0.787992495309568,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.335135135135135,0.524861878453039,0.307692307692308,0.364640883977901,0.25,0.25,0.25,0.25,0.0865921787709497,0.13268156424581,0.0726256983240224,0.0921787709497207,0.266759776536313,0.255586592178771,0.222067039106145,0.255586592178771,0.553072625698324,0.68342644320298,0.545623836126629,0.575418994413408
"19","Phase ~ VH2","rf",1676,716,1,"noProc",19,0.386634844868735,0.182179793158313,0.384078212290503,0.17877094972067,0.348294948370292,0.420820832980369,0.25,1.78972803115688e-15,0.703043714573611,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.759776536312849,0.836126629422719,0.80074487895717,0.782122905027933,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.777142857142857,0.842401500938086,0.771992818671454,0.787992495309568,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.335135135135135,0.524861878453039,0.307692307692308,0.364640883977901,0.25,0.25,0.25,0.25,0.0865921787709497,0.13268156424581,0.0726256983240224,0.0921787709497207,0.266759776536313,0.255586592178771,0.222067039106145,0.255586592178771,0.553072625698324,0.68342644320298,0.545623836126629,0.575418994413408
"20","Phase ~ VH2","rf",1676,716,1,"noProc",20,0.385441527446301,0.180588703261734,0.384078212290503,0.17877094972067,0.348294948370292,0.420820832980369,0.25,1.78972803115688e-15,0.703043714573611,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.759776536312849,0.836126629422719,0.80074487895717,0.782122905027933,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.777142857142857,0.842401500938086,0.771992818671454,0.787992495309568,0.324607329842932,0.519125683060109,0.327044025157233,0.360655737704918,0.346368715083799,0.53072625698324,0.290502793296089,0.368715083798883,0.335135135135135,0.524861878453039,0.307692307692308,0.364640883977901,0.25,0.25,0.25,0.25,0.0865921787709497,0.13268156424581,0.0726256983240224,0.0921787709497207,0.266759776536313,0.255586592178771,0.222067039106145,0.255586592178771,0.553072625698324,0.68342644320298,0.545623836126629,0.575418994413408
