"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.sigma","results.C","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"11","Phase ~ VV1","svmRadial",1676,716,1,"noProc",2.98023223876953e-08,1024,0,-0.333333333333333,0.434357541899441,0.245810055865922,0.397687609256044,0.471570472697689,0.25,5.3950914030368e-27,1.56343067768812e-42,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.966480446927374,0.940409683426443,0.776536312849162,0.562383612662942,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.751085383502171,0.809294871794872,0.839034205231388,0.898809523809524,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.0686274509803922,0.44280442804428,0.49748743718593,0.518783542039356,0.25,0.25,0.25,0.25,0.00977653631284916,0.0837988826815642,0.138268156424581,0.202513966480447,0.0349162011173184,0.128491620111732,0.305865921787709,0.53072625698324,0.502793296089385,0.63780260707635,0.664804469273743,0.686219739292365
"12","Phase ~ VV1","svmRadial",1676,716,1,"noProc",9.5367431640625e-07,1,0,-0.333333333333333,0.434357541899441,0.245810055865922,0.397687609256044,0.471570472697689,0.25,5.3950914030368e-27,1.56343067768812e-42,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.966480446927374,0.940409683426443,0.776536312849162,0.562383612662942,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.751085383502171,0.809294871794872,0.839034205231388,0.898809523809524,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.0686274509803922,0.44280442804428,0.49748743718593,0.518783542039356,0.25,0.25,0.25,0.25,0.00977653631284916,0.0837988826815642,0.138268156424581,0.202513966480447,0.0349162011173184,0.128491620111732,0.305865921787709,0.53072625698324,0.502793296089385,0.63780260707635,0.664804469273743,0.686219739292365
"13","Phase ~ VV1","svmRadial",1676,716,1,"noProc",9.5367431640625e-07,2,0,-0.333333333333333,0.434357541899441,0.245810055865922,0.397687609256044,0.471570472697689,0.25,5.3950914030368e-27,1.56343067768812e-42,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.966480446927374,0.940409683426443,0.776536312849162,0.562383612662942,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.751085383502171,0.809294871794872,0.839034205231388,0.898809523809524,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.0686274509803922,0.44280442804428,0.49748743718593,0.518783542039356,0.25,0.25,0.25,0.25,0.00977653631284916,0.0837988826815642,0.138268156424581,0.202513966480447,0.0349162011173184,0.128491620111732,0.305865921787709,0.53072625698324,0.502793296089385,0.63780260707635,0.664804469273743,0.686219739292365
"14","Phase ~ VV1","svmRadial",1676,716,1,"noProc",9.5367431640625e-07,4,0,-0.333333333333333,0.434357541899441,0.245810055865922,0.397687609256044,0.471570472697689,0.25,5.3950914030368e-27,1.56343067768812e-42,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.966480446927374,0.940409683426443,0.776536312849162,0.562383612662942,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.751085383502171,0.809294871794872,0.839034205231388,0.898809523809524,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.0686274509803922,0.44280442804428,0.49748743718593,0.518783542039356,0.25,0.25,0.25,0.25,0.00977653631284916,0.0837988826815642,0.138268156424581,0.202513966480447,0.0349162011173184,0.128491620111732,0.305865921787709,0.53072625698324,0.502793296089385,0.63780260707635,0.664804469273743,0.686219739292365
"15","Phase ~ VV1","svmRadial",1676,716,1,"noProc",9.5367431640625e-07,8,0,-0.333333333333333,0.434357541899441,0.245810055865922,0.397687609256044,0.471570472697689,0.25,5.3950914030368e-27,1.56343067768812e-42,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.966480446927374,0.940409683426443,0.776536312849162,0.562383612662942,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.751085383502171,0.809294871794872,0.839034205231388,0.898809523809524,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.0686274509803922,0.44280442804428,0.49748743718593,0.518783542039356,0.25,0.25,0.25,0.25,0.00977653631284916,0.0837988826815642,0.138268156424581,0.202513966480447,0.0349162011173184,0.128491620111732,0.305865921787709,0.53072625698324,0.502793296089385,0.63780260707635,0.664804469273743,0.686219739292365
"16","Phase ~ VV1","svmRadial",1676,716,1,"noProc",9.5367431640625e-07,16,0,-0.333333333333333,0.434357541899441,0.245810055865922,0.397687609256044,0.471570472697689,0.25,5.3950914030368e-27,1.56343067768812e-42,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.966480446927374,0.940409683426443,0.776536312849162,0.562383612662942,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.751085383502171,0.809294871794872,0.839034205231388,0.898809523809524,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.0686274509803922,0.44280442804428,0.49748743718593,0.518783542039356,0.25,0.25,0.25,0.25,0.00977653631284916,0.0837988826815642,0.138268156424581,0.202513966480447,0.0349162011173184,0.128491620111732,0.305865921787709,0.53072625698324,0.502793296089385,0.63780260707635,0.664804469273743,0.686219739292365
"17","Phase ~ VV1","svmRadial",1676,716,1,"noProc",9.5367431640625e-07,32,0,-0.333333333333333,0.434357541899441,0.245810055865922,0.397687609256044,0.471570472697689,0.25,5.3950914030368e-27,1.56343067768812e-42,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.966480446927374,0.940409683426443,0.776536312849162,0.562383612662942,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.751085383502171,0.809294871794872,0.839034205231388,0.898809523809524,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.0686274509803922,0.44280442804428,0.49748743718593,0.518783542039356,0.25,0.25,0.25,0.25,0.00977653631284916,0.0837988826815642,0.138268156424581,0.202513966480447,0.0349162011173184,0.128491620111732,0.305865921787709,0.53072625698324,0.502793296089385,0.63780260707635,0.664804469273743,0.686219739292365
"18","Phase ~ VV1","svmRadial",1676,716,1,"noProc",9.5367431640625e-07,64,0,-0.333333333333333,0.434357541899441,0.245810055865922,0.397687609256044,0.471570472697689,0.25,5.3950914030368e-27,1.56343067768812e-42,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.966480446927374,0.940409683426443,0.776536312849162,0.562383612662942,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.751085383502171,0.809294871794872,0.839034205231388,0.898809523809524,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.0686274509803922,0.44280442804428,0.49748743718593,0.518783542039356,0.25,0.25,0.25,0.25,0.00977653631284916,0.0837988826815642,0.138268156424581,0.202513966480447,0.0349162011173184,0.128491620111732,0.305865921787709,0.53072625698324,0.502793296089385,0.63780260707635,0.664804469273743,0.686219739292365
"19","Phase ~ VV1","svmRadial",1676,716,1,"noProc",9.5367431640625e-07,128,0,-0.333333333333333,0.434357541899441,0.245810055865922,0.397687609256044,0.471570472697689,0.25,5.3950914030368e-27,1.56343067768812e-42,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.966480446927374,0.940409683426443,0.776536312849162,0.562383612662942,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.751085383502171,0.809294871794872,0.839034205231388,0.898809523809524,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.0686274509803922,0.44280442804428,0.49748743718593,0.518783542039356,0.25,0.25,0.25,0.25,0.00977653631284916,0.0837988826815642,0.138268156424581,0.202513966480447,0.0349162011173184,0.128491620111732,0.305865921787709,0.53072625698324,0.502793296089385,0.63780260707635,0.664804469273743,0.686219739292365
"20","Phase ~ VV1","svmRadial",1676,716,1,"noProc",9.5367431640625e-07,256,0,-0.333333333333333,0.434357541899441,0.245810055865922,0.397687609256044,0.471570472697689,0.25,5.3950914030368e-27,1.56343067768812e-42,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.966480446927374,0.940409683426443,0.776536312849162,0.562383612662942,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.751085383502171,0.809294871794872,0.839034205231388,0.898809523809524,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.0686274509803922,0.44280442804428,0.49748743718593,0.518783542039356,0.25,0.25,0.25,0.25,0.00977653631284916,0.0837988826815642,0.138268156424581,0.202513966480447,0.0349162011173184,0.128491620111732,0.305865921787709,0.53072625698324,0.502793296089385,0.63780260707635,0.664804469273743,0.686219739292365
"21","Phase ~ VV1","svmRadial",1676,716,1,"noProc",9.5367431640625e-07,512,0,-0.333333333333333,0.434357541899441,0.245810055865922,0.397687609256044,0.471570472697689,0.25,5.3950914030368e-27,1.56343067768812e-42,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.966480446927374,0.940409683426443,0.776536312849162,0.562383612662942,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.751085383502171,0.809294871794872,0.839034205231388,0.898809523809524,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.0686274509803922,0.44280442804428,0.49748743718593,0.518783542039356,0.25,0.25,0.25,0.25,0.00977653631284916,0.0837988826815642,0.138268156424581,0.202513966480447,0.0349162011173184,0.128491620111732,0.305865921787709,0.53072625698324,0.502793296089385,0.63780260707635,0.664804469273743,0.686219739292365
"22","Phase ~ VV1","svmRadial",1676,716,1,"noProc",9.5367431640625e-07,1024,0.0137231503579952,-0.315035799522673,0.434357541899441,0.245810055865922,0.397687609256044,0.471570472697689,0.25,5.3950914030368e-27,1.56343067768812e-42,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.966480446927374,0.940409683426443,0.776536312849162,0.562383612662942,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.751085383502171,0.809294871794872,0.839034205231388,0.898809523809524,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.0686274509803922,0.44280442804428,0.49748743718593,0.518783542039356,0.25,0.25,0.25,0.25,0.00977653631284916,0.0837988826815642,0.138268156424581,0.202513966480447,0.0349162011173184,0.128491620111732,0.305865921787709,0.53072625698324,0.502793296089385,0.63780260707635,0.664804469273743,0.686219739292365
"23","Phase ~ VV1","svmRadial",1676,716,1,"noProc",3.0517578125e-05,1,0,-0.333333333333333,0.434357541899441,0.245810055865922,0.397687609256044,0.471570472697689,0.25,5.3950914030368e-27,1.56343067768812e-42,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.966480446927374,0.940409683426443,0.776536312849162,0.562383612662942,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.751085383502171,0.809294871794872,0.839034205231388,0.898809523809524,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.0686274509803922,0.44280442804428,0.49748743718593,0.518783542039356,0.25,0.25,0.25,0.25,0.00977653631284916,0.0837988826815642,0.138268156424581,0.202513966480447,0.0349162011173184,0.128491620111732,0.305865921787709,0.53072625698324,0.502793296089385,0.63780260707635,0.664804469273743,0.686219739292365
"24","Phase ~ VV1","svmRadial",1676,716,1,"noProc",3.0517578125e-05,2,0,-0.333333333333333,0.434357541899441,0.245810055865922,0.397687609256044,0.471570472697689,0.25,5.3950914030368e-27,1.56343067768812e-42,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.966480446927374,0.940409683426443,0.776536312849162,0.562383612662942,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.751085383502171,0.809294871794872,0.839034205231388,0.898809523809524,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.0686274509803922,0.44280442804428,0.49748743718593,0.518783542039356,0.25,0.25,0.25,0.25,0.00977653631284916,0.0837988826815642,0.138268156424581,0.202513966480447,0.0349162011173184,0.128491620111732,0.305865921787709,0.53072625698324,0.502793296089385,0.63780260707635,0.664804469273743,0.686219739292365
"25","Phase ~ VV1","svmRadial",1676,716,1,"noProc",3.0517578125e-05,4,0,-0.333333333333333,0.434357541899441,0.245810055865922,0.397687609256044,0.471570472697689,0.25,5.3950914030368e-27,1.56343067768812e-42,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.966480446927374,0.940409683426443,0.776536312849162,0.562383612662942,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.751085383502171,0.809294871794872,0.839034205231388,0.898809523809524,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.0686274509803922,0.44280442804428,0.49748743718593,0.518783542039356,0.25,0.25,0.25,0.25,0.00977653631284916,0.0837988826815642,0.138268156424581,0.202513966480447,0.0349162011173184,0.128491620111732,0.305865921787709,0.53072625698324,0.502793296089385,0.63780260707635,0.664804469273743,0.686219739292365
"26","Phase ~ VV1","svmRadial",1676,716,1,"noProc",3.0517578125e-05,8,0,-0.333333333333333,0.434357541899441,0.245810055865922,0.397687609256044,0.471570472697689,0.25,5.3950914030368e-27,1.56343067768812e-42,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.966480446927374,0.940409683426443,0.776536312849162,0.562383612662942,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.751085383502171,0.809294871794872,0.839034205231388,0.898809523809524,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.0686274509803922,0.44280442804428,0.49748743718593,0.518783542039356,0.25,0.25,0.25,0.25,0.00977653631284916,0.0837988826815642,0.138268156424581,0.202513966480447,0.0349162011173184,0.128491620111732,0.305865921787709,0.53072625698324,0.502793296089385,0.63780260707635,0.664804469273743,0.686219739292365
"27","Phase ~ VV1","svmRadial",1676,716,1,"noProc",3.0517578125e-05,16,0,-0.333333333333333,0.434357541899441,0.245810055865922,0.397687609256044,0.471570472697689,0.25,5.3950914030368e-27,1.56343067768812e-42,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.966480446927374,0.940409683426443,0.776536312849162,0.562383612662942,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.751085383502171,0.809294871794872,0.839034205231388,0.898809523809524,0.28,0.652173913043478,0.452054794520548,0.381578947368421,0.0391061452513966,0.335195530726257,0.553072625698324,0.810055865921788,0.0686274509803922,0.44280442804428,0.49748743718593,0.518783542039356,0.25,0.25,0.25,0.25,0.00977653631284916,0.0837988826815642,0.138268156424581,0.202513966480447,0.0349162011173184,0.128491620111732,0.305865921787709,0.53072625698324,0.502793296089385,0.63780260707635,0.664804469273743,0.686219739292365
