"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.sigma","results.C","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"11","Phase ~ RED + NIR + BLUE + SWIR","svmRadial",223,93,4,"noProc",2.98023223876953e-08,1024,0.309417040358744,-0.0065064478311841,0.838709677419355,0.777263292351908,0.74796573744892,0.906821820069959,0.311827956989247,1.05279062924499e-25,0.166217191741239,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.9375,0.958333333333333,0.90625,0.974683544303797,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.952380952380952,0.971830985915493,0.950819672131148,0.916666666666667,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.88135593220339,0.883720930232558,0.852459016393443,0.608695652173913,0.311827956989247,0.225806451612903,0.311827956989247,0.150537634408602,0.279569892473118,0.204301075268817,0.279569892473118,0.0752688172043011,0.32258064516129,0.236559139784946,0.344086021505376,0.0967741935483871,0.917025862068966,0.931547619047619,0.901400862068966,0.737341772151899
"12","Phase ~ RED + NIR + BLUE + SWIR","svmRadial",223,93,4,"noProc",9.5367431640625e-07,1,0.309417040358744,-0.0065064478311841,0.838709677419355,0.777263292351908,0.74796573744892,0.906821820069959,0.311827956989247,1.05279062924499e-25,0.166217191741239,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.9375,0.958333333333333,0.90625,0.974683544303797,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.952380952380952,0.971830985915493,0.950819672131148,0.916666666666667,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.88135593220339,0.883720930232558,0.852459016393443,0.608695652173913,0.311827956989247,0.225806451612903,0.311827956989247,0.150537634408602,0.279569892473118,0.204301075268817,0.279569892473118,0.0752688172043011,0.32258064516129,0.236559139784946,0.344086021505376,0.0967741935483871,0.917025862068966,0.931547619047619,0.901400862068966,0.737341772151899
"13","Phase ~ RED + NIR + BLUE + SWIR","svmRadial",223,93,4,"noProc",9.5367431640625e-07,2,0.309417040358744,-0.0065064478311841,0.838709677419355,0.777263292351908,0.74796573744892,0.906821820069959,0.311827956989247,1.05279062924499e-25,0.166217191741239,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.9375,0.958333333333333,0.90625,0.974683544303797,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.952380952380952,0.971830985915493,0.950819672131148,0.916666666666667,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.88135593220339,0.883720930232558,0.852459016393443,0.608695652173913,0.311827956989247,0.225806451612903,0.311827956989247,0.150537634408602,0.279569892473118,0.204301075268817,0.279569892473118,0.0752688172043011,0.32258064516129,0.236559139784946,0.344086021505376,0.0967741935483871,0.917025862068966,0.931547619047619,0.901400862068966,0.737341772151899
"14","Phase ~ RED + NIR + BLUE + SWIR","svmRadial",223,93,4,"noProc",9.5367431640625e-07,4,0.309417040358744,-0.0065064478311841,0.838709677419355,0.777263292351908,0.74796573744892,0.906821820069959,0.311827956989247,1.05279062924499e-25,0.166217191741239,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.9375,0.958333333333333,0.90625,0.974683544303797,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.952380952380952,0.971830985915493,0.950819672131148,0.916666666666667,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.88135593220339,0.883720930232558,0.852459016393443,0.608695652173913,0.311827956989247,0.225806451612903,0.311827956989247,0.150537634408602,0.279569892473118,0.204301075268817,0.279569892473118,0.0752688172043011,0.32258064516129,0.236559139784946,0.344086021505376,0.0967741935483871,0.917025862068966,0.931547619047619,0.901400862068966,0.737341772151899
"15","Phase ~ RED + NIR + BLUE + SWIR","svmRadial",223,93,4,"noProc",9.5367431640625e-07,8,0.309417040358744,-0.0065064478311841,0.838709677419355,0.777263292351908,0.74796573744892,0.906821820069959,0.311827956989247,1.05279062924499e-25,0.166217191741239,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.9375,0.958333333333333,0.90625,0.974683544303797,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.952380952380952,0.971830985915493,0.950819672131148,0.916666666666667,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.88135593220339,0.883720930232558,0.852459016393443,0.608695652173913,0.311827956989247,0.225806451612903,0.311827956989247,0.150537634408602,0.279569892473118,0.204301075268817,0.279569892473118,0.0752688172043011,0.32258064516129,0.236559139784946,0.344086021505376,0.0967741935483871,0.917025862068966,0.931547619047619,0.901400862068966,0.737341772151899
"16","Phase ~ RED + NIR + BLUE + SWIR","svmRadial",223,93,4,"noProc",9.5367431640625e-07,16,0.309417040358744,-0.0065064478311841,0.838709677419355,0.777263292351908,0.74796573744892,0.906821820069959,0.311827956989247,1.05279062924499e-25,0.166217191741239,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.9375,0.958333333333333,0.90625,0.974683544303797,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.952380952380952,0.971830985915493,0.950819672131148,0.916666666666667,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.88135593220339,0.883720930232558,0.852459016393443,0.608695652173913,0.311827956989247,0.225806451612903,0.311827956989247,0.150537634408602,0.279569892473118,0.204301075268817,0.279569892473118,0.0752688172043011,0.32258064516129,0.236559139784946,0.344086021505376,0.0967741935483871,0.917025862068966,0.931547619047619,0.901400862068966,0.737341772151899
"17","Phase ~ RED + NIR + BLUE + SWIR","svmRadial",223,93,4,"noProc",9.5367431640625e-07,32,0.309417040358744,-0.0065064478311841,0.838709677419355,0.777263292351908,0.74796573744892,0.906821820069959,0.311827956989247,1.05279062924499e-25,0.166217191741239,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.9375,0.958333333333333,0.90625,0.974683544303797,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.952380952380952,0.971830985915493,0.950819672131148,0.916666666666667,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.88135593220339,0.883720930232558,0.852459016393443,0.608695652173913,0.311827956989247,0.225806451612903,0.311827956989247,0.150537634408602,0.279569892473118,0.204301075268817,0.279569892473118,0.0752688172043011,0.32258064516129,0.236559139784946,0.344086021505376,0.0967741935483871,0.917025862068966,0.931547619047619,0.901400862068966,0.737341772151899
"18","Phase ~ RED + NIR + BLUE + SWIR","svmRadial",223,93,4,"noProc",9.5367431640625e-07,64,0.309417040358744,-0.0065064478311841,0.838709677419355,0.777263292351908,0.74796573744892,0.906821820069959,0.311827956989247,1.05279062924499e-25,0.166217191741239,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.9375,0.958333333333333,0.90625,0.974683544303797,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.952380952380952,0.971830985915493,0.950819672131148,0.916666666666667,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.88135593220339,0.883720930232558,0.852459016393443,0.608695652173913,0.311827956989247,0.225806451612903,0.311827956989247,0.150537634408602,0.279569892473118,0.204301075268817,0.279569892473118,0.0752688172043011,0.32258064516129,0.236559139784946,0.344086021505376,0.0967741935483871,0.917025862068966,0.931547619047619,0.901400862068966,0.737341772151899
"19","Phase ~ RED + NIR + BLUE + SWIR","svmRadial",223,93,4,"noProc",9.5367431640625e-07,128,0.309417040358744,-0.0065064478311841,0.838709677419355,0.777263292351908,0.74796573744892,0.906821820069959,0.311827956989247,1.05279062924499e-25,0.166217191741239,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.9375,0.958333333333333,0.90625,0.974683544303797,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.952380952380952,0.971830985915493,0.950819672131148,0.916666666666667,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.88135593220339,0.883720930232558,0.852459016393443,0.608695652173913,0.311827956989247,0.225806451612903,0.311827956989247,0.150537634408602,0.279569892473118,0.204301075268817,0.279569892473118,0.0752688172043011,0.32258064516129,0.236559139784946,0.344086021505376,0.0967741935483871,0.917025862068966,0.931547619047619,0.901400862068966,0.737341772151899
"20","Phase ~ RED + NIR + BLUE + SWIR","svmRadial",223,93,4,"noProc",9.5367431640625e-07,256,0.309417040358744,-0.0065064478311841,0.838709677419355,0.777263292351908,0.74796573744892,0.906821820069959,0.311827956989247,1.05279062924499e-25,0.166217191741239,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.9375,0.958333333333333,0.90625,0.974683544303797,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.952380952380952,0.971830985915493,0.950819672131148,0.916666666666667,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.88135593220339,0.883720930232558,0.852459016393443,0.608695652173913,0.311827956989247,0.225806451612903,0.311827956989247,0.150537634408602,0.279569892473118,0.204301075268817,0.279569892473118,0.0752688172043011,0.32258064516129,0.236559139784946,0.344086021505376,0.0967741935483871,0.917025862068966,0.931547619047619,0.901400862068966,0.737341772151899
"21","Phase ~ RED + NIR + BLUE + SWIR","svmRadial",223,93,4,"noProc",9.5367431640625e-07,512,0.318385650224215,0.0066232928902174,0.838709677419355,0.777263292351908,0.74796573744892,0.906821820069959,0.311827956989247,1.05279062924499e-25,0.166217191741239,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.9375,0.958333333333333,0.90625,0.974683544303797,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.952380952380952,0.971830985915493,0.950819672131148,0.916666666666667,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.88135593220339,0.883720930232558,0.852459016393443,0.608695652173913,0.311827956989247,0.225806451612903,0.311827956989247,0.150537634408602,0.279569892473118,0.204301075268817,0.279569892473118,0.0752688172043011,0.32258064516129,0.236559139784946,0.344086021505376,0.0967741935483871,0.917025862068966,0.931547619047619,0.901400862068966,0.737341772151899
"22","Phase ~ RED + NIR + BLUE + SWIR","svmRadial",223,93,4,"noProc",9.5367431640625e-07,1024,0.524663677130045,0.308345037453183,0.838709677419355,0.777263292351908,0.74796573744892,0.906821820069959,0.311827956989247,1.05279062924499e-25,0.166217191741239,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.9375,0.958333333333333,0.90625,0.974683544303797,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.952380952380952,0.971830985915493,0.950819672131148,0.916666666666667,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.88135593220339,0.883720930232558,0.852459016393443,0.608695652173913,0.311827956989247,0.225806451612903,0.311827956989247,0.150537634408602,0.279569892473118,0.204301075268817,0.279569892473118,0.0752688172043011,0.32258064516129,0.236559139784946,0.344086021505376,0.0967741935483871,0.917025862068966,0.931547619047619,0.901400862068966,0.737341772151899
"23","Phase ~ RED + NIR + BLUE + SWIR","svmRadial",223,93,4,"noProc",3.0517578125e-05,1,0.309417040358744,-0.0065064478311841,0.838709677419355,0.777263292351908,0.74796573744892,0.906821820069959,0.311827956989247,1.05279062924499e-25,0.166217191741239,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.9375,0.958333333333333,0.90625,0.974683544303797,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.952380952380952,0.971830985915493,0.950819672131148,0.916666666666667,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.88135593220339,0.883720930232558,0.852459016393443,0.608695652173913,0.311827956989247,0.225806451612903,0.311827956989247,0.150537634408602,0.279569892473118,0.204301075268817,0.279569892473118,0.0752688172043011,0.32258064516129,0.236559139784946,0.344086021505376,0.0967741935483871,0.917025862068966,0.931547619047619,0.901400862068966,0.737341772151899
"24","Phase ~ RED + NIR + BLUE + SWIR","svmRadial",223,93,4,"noProc",3.0517578125e-05,2,0.309417040358744,-0.0065064478311841,0.838709677419355,0.777263292351908,0.74796573744892,0.906821820069959,0.311827956989247,1.05279062924499e-25,0.166217191741239,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.9375,0.958333333333333,0.90625,0.974683544303797,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.952380952380952,0.971830985915493,0.950819672131148,0.916666666666667,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.88135593220339,0.883720930232558,0.852459016393443,0.608695652173913,0.311827956989247,0.225806451612903,0.311827956989247,0.150537634408602,0.279569892473118,0.204301075268817,0.279569892473118,0.0752688172043011,0.32258064516129,0.236559139784946,0.344086021505376,0.0967741935483871,0.917025862068966,0.931547619047619,0.901400862068966,0.737341772151899
"25","Phase ~ RED + NIR + BLUE + SWIR","svmRadial",223,93,4,"noProc",3.0517578125e-05,4,0.309417040358744,-0.0065064478311841,0.838709677419355,0.777263292351908,0.74796573744892,0.906821820069959,0.311827956989247,1.05279062924499e-25,0.166217191741239,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.9375,0.958333333333333,0.90625,0.974683544303797,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.952380952380952,0.971830985915493,0.950819672131148,0.916666666666667,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.88135593220339,0.883720930232558,0.852459016393443,0.608695652173913,0.311827956989247,0.225806451612903,0.311827956989247,0.150537634408602,0.279569892473118,0.204301075268817,0.279569892473118,0.0752688172043011,0.32258064516129,0.236559139784946,0.344086021505376,0.0967741935483871,0.917025862068966,0.931547619047619,0.901400862068966,0.737341772151899
"26","Phase ~ RED + NIR + BLUE + SWIR","svmRadial",223,93,4,"noProc",3.0517578125e-05,8,0.309417040358744,-0.0065064478311841,0.838709677419355,0.777263292351908,0.74796573744892,0.906821820069959,0.311827956989247,1.05279062924499e-25,0.166217191741239,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.9375,0.958333333333333,0.90625,0.974683544303797,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.952380952380952,0.971830985915493,0.950819672131148,0.916666666666667,0.866666666666667,0.863636363636364,0.8125,0.777777777777778,0.896551724137931,0.904761904761905,0.896551724137931,0.5,0.88135593220339,0.883720930232558,0.852459016393443,0.608695652173913,0.311827956989247,0.225806451612903,0.311827956989247,0.150537634408602,0.279569892473118,0.204301075268817,0.279569892473118,0.0752688172043011,0.32258064516129,0.236559139784946,0.344086021505376,0.0967741935483871,0.917025862068966,0.931547619047619,0.901400862068966,0.737341772151899
