"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"11","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VV_MAX","rf",252,106,11,"noProc",11,0.861111111111111,0.812080536912752,0.811320754716981,0.745008419533317,0.723752909447664,0.880772883420563,0.311320754716981,3.25389918243131e-26,NA,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.986301369863014,0.951219512195122,0.883116883116883,0.930232558139535,0.967741935483871,0.809523809523809,0.742857142857143,0.684210526315789,0.96,0.917647058823529,0.957746478873239,0.919540229885057,0.967741935483871,0.80952380952381,0.742857142857143,0.684210526315789,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.9375,0.755555555555556,0.8125,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.245283018867925,0.122641509433962,0.292452830188679,0.19811320754717,0.330188679245283,0.179245283018868,0.947696139476961,0.829776422764228,0.889834303627407,0.790116279069767
"12","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VV_MAX","rf",252,106,11,"noProc",12,0.873015873015873,0.828272072916223,0.811320754716981,0.745008419533317,0.723752909447664,0.880772883420563,0.311320754716981,3.25389918243131e-26,NA,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.986301369863014,0.951219512195122,0.883116883116883,0.930232558139535,0.967741935483871,0.809523809523809,0.742857142857143,0.684210526315789,0.96,0.917647058823529,0.957746478873239,0.919540229885057,0.967741935483871,0.80952380952381,0.742857142857143,0.684210526315789,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.9375,0.755555555555556,0.8125,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.245283018867925,0.122641509433962,0.292452830188679,0.19811320754717,0.330188679245283,0.179245283018868,0.947696139476961,0.829776422764228,0.889834303627407,0.790116279069767
"13","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VV_MAX","rf",252,106,11,"noProc",13,0.869047619047619,0.822852760736196,0.811320754716981,0.745008419533317,0.723752909447664,0.880772883420563,0.311320754716981,3.25389918243131e-26,NA,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.986301369863014,0.951219512195122,0.883116883116883,0.930232558139535,0.967741935483871,0.809523809523809,0.742857142857143,0.684210526315789,0.96,0.917647058823529,0.957746478873239,0.919540229885057,0.967741935483871,0.80952380952381,0.742857142857143,0.684210526315789,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.9375,0.755555555555556,0.8125,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.245283018867925,0.122641509433962,0.292452830188679,0.19811320754717,0.330188679245283,0.179245283018868,0.947696139476961,0.829776422764228,0.889834303627407,0.790116279069767
"14","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VV_MAX","rf",252,106,11,"noProc",14,0.869047619047619,0.822818791946309,0.811320754716981,0.745008419533317,0.723752909447664,0.880772883420563,0.311320754716981,3.25389918243131e-26,NA,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.986301369863014,0.951219512195122,0.883116883116883,0.930232558139535,0.967741935483871,0.809523809523809,0.742857142857143,0.684210526315789,0.96,0.917647058823529,0.957746478873239,0.919540229885057,0.967741935483871,0.80952380952381,0.742857142857143,0.684210526315789,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.9375,0.755555555555556,0.8125,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.245283018867925,0.122641509433962,0.292452830188679,0.19811320754717,0.330188679245283,0.179245283018868,0.947696139476961,0.829776422764228,0.889834303627407,0.790116279069767
"15","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VV_MAX","rf",252,106,11,"noProc",15,0.869047619047619,0.823078886903242,0.811320754716981,0.745008419533317,0.723752909447664,0.880772883420563,0.311320754716981,3.25389918243131e-26,NA,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.986301369863014,0.951219512195122,0.883116883116883,0.930232558139535,0.967741935483871,0.809523809523809,0.742857142857143,0.684210526315789,0.96,0.917647058823529,0.957746478873239,0.919540229885057,0.967741935483871,0.80952380952381,0.742857142857143,0.684210526315789,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.9375,0.755555555555556,0.8125,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.245283018867925,0.122641509433962,0.292452830188679,0.19811320754717,0.330188679245283,0.179245283018868,0.947696139476961,0.829776422764228,0.889834303627407,0.790116279069767
"16","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VV_MAX","rf",252,106,11,"noProc",16,0.865079365079365,0.817395196180815,0.811320754716981,0.745008419533317,0.723752909447664,0.880772883420563,0.311320754716981,3.25389918243131e-26,NA,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.986301369863014,0.951219512195122,0.883116883116883,0.930232558139535,0.967741935483871,0.809523809523809,0.742857142857143,0.684210526315789,0.96,0.917647058823529,0.957746478873239,0.919540229885057,0.967741935483871,0.80952380952381,0.742857142857143,0.684210526315789,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.9375,0.755555555555556,0.8125,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.245283018867925,0.122641509433962,0.292452830188679,0.19811320754717,0.330188679245283,0.179245283018868,0.947696139476961,0.829776422764228,0.889834303627407,0.790116279069767
"17","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VV_MAX","rf",252,106,11,"noProc",17,0.873015873015873,0.828356143973096,0.811320754716981,0.745008419533317,0.723752909447664,0.880772883420563,0.311320754716981,3.25389918243131e-26,NA,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.986301369863014,0.951219512195122,0.883116883116883,0.930232558139535,0.967741935483871,0.809523809523809,0.742857142857143,0.684210526315789,0.96,0.917647058823529,0.957746478873239,0.919540229885057,0.967741935483871,0.80952380952381,0.742857142857143,0.684210526315789,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.9375,0.755555555555556,0.8125,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.245283018867925,0.122641509433962,0.292452830188679,0.19811320754717,0.330188679245283,0.179245283018868,0.947696139476961,0.829776422764228,0.889834303627407,0.790116279069767
"18","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VV_MAX","rf",252,106,11,"noProc",18,0.869047619047619,0.822818791946309,0.811320754716981,0.745008419533317,0.723752909447664,0.880772883420563,0.311320754716981,3.25389918243131e-26,NA,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.986301369863014,0.951219512195122,0.883116883116883,0.930232558139535,0.967741935483871,0.809523809523809,0.742857142857143,0.684210526315789,0.96,0.917647058823529,0.957746478873239,0.919540229885057,0.967741935483871,0.80952380952381,0.742857142857143,0.684210526315789,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.9375,0.755555555555556,0.8125,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.245283018867925,0.122641509433962,0.292452830188679,0.19811320754717,0.330188679245283,0.179245283018868,0.947696139476961,0.829776422764228,0.889834303627407,0.790116279069767
"19","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VV_MAX","rf",252,106,11,"noProc",19,0.865079365079365,0.81744966442953,0.811320754716981,0.745008419533317,0.723752909447664,0.880772883420563,0.311320754716981,3.25389918243131e-26,NA,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.986301369863014,0.951219512195122,0.883116883116883,0.930232558139535,0.967741935483871,0.809523809523809,0.742857142857143,0.684210526315789,0.96,0.917647058823529,0.957746478873239,0.919540229885057,0.967741935483871,0.80952380952381,0.742857142857143,0.684210526315789,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.9375,0.755555555555556,0.8125,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.245283018867925,0.122641509433962,0.292452830188679,0.19811320754717,0.330188679245283,0.179245283018868,0.947696139476961,0.829776422764228,0.889834303627407,0.790116279069767
"20","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VV_MAX","rf",252,106,11,"noProc",20,0.865079365079365,0.817360163710778,0.811320754716981,0.745008419533317,0.723752909447664,0.880772883420563,0.311320754716981,3.25389918243131e-26,NA,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.986301369863014,0.951219512195122,0.883116883116883,0.930232558139535,0.967741935483871,0.809523809523809,0.742857142857143,0.684210526315789,0.96,0.917647058823529,0.957746478873239,0.919540229885057,0.967741935483871,0.80952380952381,0.742857142857143,0.684210526315789,0.909090909090909,0.708333333333333,0.896551724137931,0.65,0.9375,0.755555555555556,0.8125,0.666666666666667,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.160377358490566,0.245283018867925,0.122641509433962,0.292452830188679,0.19811320754717,0.330188679245283,0.179245283018868,0.947696139476961,0.829776422764228,0.889834303627407,0.790116279069767
