"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"1","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VV_MAX","rf",252,106,18,"noProc",1,0.880952380952381,0.838781907747425,0.830188679245283,0.769286577992745,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.945205479452055,0.98780487804878,0.896103896103896,0.941860465116279,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.985714285714286,0.920454545454546,0.958333333333333,0.920454545454546,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.927536231884058,0.80952380952381,0.825396825396825,0.684210526315789,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.160377358490566,0.245283018867925,0.122641509433962,0.339622641509434,0.169811320754717,0.320754716981132,0.169811320754717,0.957451224574512,0.848069105691057,0.896327810120914,0.79593023255814
"2","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VV_MAX","rf",252,106,18,"noProc",2,0.884920634920635,0.844444444444444,0.830188679245283,0.769286577992745,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.945205479452055,0.98780487804878,0.896103896103896,0.941860465116279,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.985714285714286,0.920454545454546,0.958333333333333,0.920454545454546,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.927536231884058,0.80952380952381,0.825396825396825,0.684210526315789,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.160377358490566,0.245283018867925,0.122641509433962,0.339622641509434,0.169811320754717,0.320754716981132,0.169811320754717,0.957451224574512,0.848069105691057,0.896327810120914,0.79593023255814
"3","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VV_MAX","rf",252,106,18,"noProc",3,0.876984126984127,0.833797842690892,0.830188679245283,0.769286577992745,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.945205479452055,0.98780487804878,0.896103896103896,0.941860465116279,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.985714285714286,0.920454545454546,0.958333333333333,0.920454545454546,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.927536231884058,0.80952380952381,0.825396825396825,0.684210526315789,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.160377358490566,0.245283018867925,0.122641509433962,0.339622641509434,0.169811320754717,0.320754716981132,0.169811320754717,0.957451224574512,0.848069105691057,0.896327810120914,0.79593023255814
"4","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VV_MAX","rf",252,106,18,"noProc",4,0.869047619047619,0.823146612224065,0.830188679245283,0.769286577992745,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.945205479452055,0.98780487804878,0.896103896103896,0.941860465116279,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.985714285714286,0.920454545454546,0.958333333333333,0.920454545454546,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.927536231884058,0.80952380952381,0.825396825396825,0.684210526315789,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.160377358490566,0.245283018867925,0.122641509433962,0.339622641509434,0.169811320754717,0.320754716981132,0.169811320754717,0.957451224574512,0.848069105691057,0.896327810120914,0.79593023255814
"5","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VV_MAX","rf",252,106,18,"noProc",5,0.880952380952381,0.839207095305953,0.830188679245283,0.769286577992745,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.945205479452055,0.98780487804878,0.896103896103896,0.941860465116279,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.985714285714286,0.920454545454546,0.958333333333333,0.920454545454546,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.927536231884058,0.80952380952381,0.825396825396825,0.684210526315789,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.160377358490566,0.245283018867925,0.122641509433962,0.339622641509434,0.169811320754717,0.320754716981132,0.169811320754717,0.957451224574512,0.848069105691057,0.896327810120914,0.79593023255814
"6","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VV_MAX","rf",252,106,18,"noProc",6,0.873015873015873,0.828421881316624,0.830188679245283,0.769286577992745,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.945205479452055,0.98780487804878,0.896103896103896,0.941860465116279,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.985714285714286,0.920454545454546,0.958333333333333,0.920454545454546,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.927536231884058,0.80952380952381,0.825396825396825,0.684210526315789,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.160377358490566,0.245283018867925,0.122641509433962,0.339622641509434,0.169811320754717,0.320754716981132,0.169811320754717,0.957451224574512,0.848069105691057,0.896327810120914,0.79593023255814
"7","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VV_MAX","rf",252,106,18,"noProc",7,0.869047619047619,0.823026175782081,0.830188679245283,0.769286577992745,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.945205479452055,0.98780487804878,0.896103896103896,0.941860465116279,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.985714285714286,0.920454545454546,0.958333333333333,0.920454545454546,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.927536231884058,0.80952380952381,0.825396825396825,0.684210526315789,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.160377358490566,0.245283018867925,0.122641509433962,0.339622641509434,0.169811320754717,0.320754716981132,0.169811320754717,0.957451224574512,0.848069105691057,0.896327810120914,0.79593023255814
"8","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VV_MAX","rf",252,106,18,"noProc",8,0.873015873015873,0.828472975559951,0.830188679245283,0.769286577992745,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.945205479452055,0.98780487804878,0.896103896103896,0.941860465116279,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.985714285714286,0.920454545454546,0.958333333333333,0.920454545454546,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.927536231884058,0.80952380952381,0.825396825396825,0.684210526315789,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.160377358490566,0.245283018867925,0.122641509433962,0.339622641509434,0.169811320754717,0.320754716981132,0.169811320754717,0.957451224574512,0.848069105691057,0.896327810120914,0.79593023255814
"9","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VV_MAX","rf",252,106,18,"noProc",9,0.869047619047619,0.823026175782081,0.830188679245283,0.769286577992745,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.945205479452055,0.98780487804878,0.896103896103896,0.941860465116279,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.985714285714286,0.920454545454546,0.958333333333333,0.920454545454546,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.927536231884058,0.80952380952381,0.825396825396825,0.684210526315789,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.160377358490566,0.245283018867925,0.122641509433962,0.339622641509434,0.169811320754717,0.320754716981132,0.169811320754717,0.957451224574512,0.848069105691057,0.896327810120914,0.79593023255814
"10","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VV_MAX","rf",252,106,18,"noProc",10,0.869047619047619,0.822871626658715,0.830188679245283,0.769286577992745,0.744966607558923,0.89614085088762,0.311320754716981,3.2554988377443e-28,NA,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.945205479452055,0.98780487804878,0.896103896103896,0.941860465116279,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.985714285714286,0.920454545454546,0.958333333333333,0.920454545454546,0.888888888888889,0.944444444444444,0.764705882352941,0.722222222222222,0.96969696969697,0.708333333333333,0.896551724137931,0.65,0.927536231884058,0.80952380952381,0.825396825396825,0.684210526315789,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.160377358490566,0.245283018867925,0.122641509433962,0.339622641509434,0.169811320754717,0.320754716981132,0.169811320754717,0.957451224574512,0.848069105691057,0.896327810120914,0.79593023255814
