"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"11","Phase ~ VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM","rf",252,106,5,"noProc",11,0.28968253968254,0.028765825510292,0.30188679245283,0.04248046875,0.21650017323276,0.398681418326286,0.311320754716981,0.618835211024555,0.137879823622103,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.575342465753425,0.878048780487805,0.753246753246753,0.837209302325581,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.688524590163934,0.791208791208791,0.773333333333333,0.791208791208791,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.358974358974359,0.256410256410256,0.4,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0471698113207547,0.113207547169811,0.00943396226415094,0.424528301886792,0.141509433962264,0.292452830188679,0.141509433962264,0.499792444997924,0.543191056910569,0.583519928347515,0.443604651162791
"12","Phase ~ VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM","rf",252,106,5,"noProc",12,0.285714285714286,0.0239073830991371,0.30188679245283,0.04248046875,0.21650017323276,0.398681418326286,0.311320754716981,0.618835211024555,0.137879823622103,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.575342465753425,0.878048780487805,0.753246753246753,0.837209302325581,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.688524590163934,0.791208791208791,0.773333333333333,0.791208791208791,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.358974358974359,0.256410256410256,0.4,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0471698113207547,0.113207547169811,0.00943396226415094,0.424528301886792,0.141509433962264,0.292452830188679,0.141509433962264,0.499792444997924,0.543191056910569,0.583519928347515,0.443604651162791
"13","Phase ~ VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM","rf",252,106,5,"noProc",13,0.285714285714286,0.024872627211557,0.30188679245283,0.04248046875,0.21650017323276,0.398681418326286,0.311320754716981,0.618835211024555,0.137879823622103,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.575342465753425,0.878048780487805,0.753246753246753,0.837209302325581,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.688524590163934,0.791208791208791,0.773333333333333,0.791208791208791,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.358974358974359,0.256410256410256,0.4,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0471698113207547,0.113207547169811,0.00943396226415094,0.424528301886792,0.141509433962264,0.292452830188679,0.141509433962264,0.499792444997924,0.543191056910569,0.583519928347515,0.443604651162791
"14","Phase ~ VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM","rf",252,106,5,"noProc",14,0.281746031746032,0.01985559566787,0.30188679245283,0.04248046875,0.21650017323276,0.398681418326286,0.311320754716981,0.618835211024555,0.137879823622103,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.575342465753425,0.878048780487805,0.753246753246753,0.837209302325581,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.688524590163934,0.791208791208791,0.773333333333333,0.791208791208791,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.358974358974359,0.256410256410256,0.4,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0471698113207547,0.113207547169811,0.00943396226415094,0.424528301886792,0.141509433962264,0.292452830188679,0.141509433962264,0.499792444997924,0.543191056910569,0.583519928347515,0.443604651162791
"15","Phase ~ VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM","rf",252,106,5,"noProc",15,0.277777777777778,0.013550135501355,0.30188679245283,0.04248046875,0.21650017323276,0.398681418326286,0.311320754716981,0.618835211024555,0.137879823622103,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.575342465753425,0.878048780487805,0.753246753246753,0.837209302325581,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.688524590163934,0.791208791208791,0.773333333333333,0.791208791208791,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.358974358974359,0.256410256410256,0.4,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0471698113207547,0.113207547169811,0.00943396226415094,0.424528301886792,0.141509433962264,0.292452830188679,0.141509433962264,0.499792444997924,0.543191056910569,0.583519928347515,0.443604651162791
"16","Phase ~ VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM","rf",252,106,5,"noProc",16,0.277777777777778,0.0159840374176662,0.30188679245283,0.04248046875,0.21650017323276,0.398681418326286,0.311320754716981,0.618835211024555,0.137879823622103,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.575342465753425,0.878048780487805,0.753246753246753,0.837209302325581,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.688524590163934,0.791208791208791,0.773333333333333,0.791208791208791,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.358974358974359,0.256410256410256,0.4,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0471698113207547,0.113207547169811,0.00943396226415094,0.424528301886792,0.141509433962264,0.292452830188679,0.141509433962264,0.499792444997924,0.543191056910569,0.583519928347515,0.443604651162791
"17","Phase ~ VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM","rf",252,106,5,"noProc",17,0.26984126984127,0.00163637929549567,0.30188679245283,0.04248046875,0.21650017323276,0.398681418326286,0.311320754716981,0.618835211024555,0.137879823622103,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.575342465753425,0.878048780487805,0.753246753246753,0.837209302325581,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.688524590163934,0.791208791208791,0.773333333333333,0.791208791208791,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.358974358974359,0.256410256410256,0.4,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0471698113207547,0.113207547169811,0.00943396226415094,0.424528301886792,0.141509433962264,0.292452830188679,0.141509433962264,0.499792444997924,0.543191056910569,0.583519928347515,0.443604651162791
"18","Phase ~ VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM","rf",252,106,5,"noProc",18,0.293650793650794,0.0353133468106155,0.30188679245283,0.04248046875,0.21650017323276,0.398681418326286,0.311320754716981,0.618835211024555,0.137879823622103,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.575342465753425,0.878048780487805,0.753246753246753,0.837209302325581,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.688524590163934,0.791208791208791,0.773333333333333,0.791208791208791,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.358974358974359,0.256410256410256,0.4,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0471698113207547,0.113207547169811,0.00943396226415094,0.424528301886792,0.141509433962264,0.292452830188679,0.141509433962264,0.499792444997924,0.543191056910569,0.583519928347515,0.443604651162791
"19","Phase ~ VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM","rf",252,106,5,"noProc",19,0.285714285714286,0.0257313458481893,0.30188679245283,0.04248046875,0.21650017323276,0.398681418326286,0.311320754716981,0.618835211024555,0.137879823622103,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.575342465753425,0.878048780487805,0.753246753246753,0.837209302325581,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.688524590163934,0.791208791208791,0.773333333333333,0.791208791208791,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.358974358974359,0.256410256410256,0.4,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0471698113207547,0.113207547169811,0.00943396226415094,0.424528301886792,0.141509433962264,0.292452830188679,0.141509433962264,0.499792444997924,0.543191056910569,0.583519928347515,0.443604651162791
"20","Phase ~ VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM","rf",252,106,5,"noProc",20,0.273809523809524,0.00930202582225187,0.30188679245283,0.04248046875,0.21650017323276,0.398681418326286,0.311320754716981,0.618835211024555,0.137879823622103,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.575342465753425,0.878048780487805,0.753246753246753,0.837209302325581,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.688524590163934,0.791208791208791,0.773333333333333,0.791208791208791,0.311111111111111,0.333333333333333,0.387096774193548,0.0666666666666667,0.424242424242424,0.208333333333333,0.413793103448276,0.05,0.358974358974359,0.256410256410256,0.4,0.0571428571428571,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.132075471698113,0.0471698113207547,0.113207547169811,0.00943396226415094,0.424528301886792,0.141509433962264,0.292452830188679,0.141509433962264,0.499792444997924,0.543191056910569,0.583519928347515,0.443604651162791
