"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"1","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX100 + d_VH_MEAN100 + d_VH_MED100 + d_VH_MIN100 + d_VH_SUM100 + d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,20,"noProc",1,0.80952380952381,0.741466646718105,0.792452830188679,0.718187311178248,0.702805877195442,0.865123998495199,0.311320754716981,2.55629073140888e-24,NA,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.945205479452055,0.963414634146341,0.883116883116883,0.930232558139535,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.971830985915493,0.918604651162791,0.944444444444444,0.898876404494382,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.911764705882353,0.772727272727273,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.160377358490566,0.235849056603774,0.10377358490566,0.330188679245283,0.188679245283019,0.320754716981132,0.160377358490566,0.942299709422997,0.835873983739837,0.872592924317062,0.740116279069768
"2","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX100 + d_VH_MEAN100 + d_VH_MED100 + d_VH_MIN100 + d_VH_SUM100 + d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,20,"noProc",2,0.845238095238095,0.790519225850456,0.792452830188679,0.718187311178248,0.702805877195442,0.865123998495199,0.311320754716981,2.55629073140888e-24,NA,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.945205479452055,0.963414634146341,0.883116883116883,0.930232558139535,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.971830985915493,0.918604651162791,0.944444444444444,0.898876404494382,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.911764705882353,0.772727272727273,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.160377358490566,0.235849056603774,0.10377358490566,0.330188679245283,0.188679245283019,0.320754716981132,0.160377358490566,0.942299709422997,0.835873983739837,0.872592924317062,0.740116279069768
"3","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX100 + d_VH_MEAN100 + d_VH_MED100 + d_VH_MIN100 + d_VH_SUM100 + d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,20,"noProc",3,0.861111111111111,0.812555786968164,0.792452830188679,0.718187311178248,0.702805877195442,0.865123998495199,0.311320754716981,2.55629073140888e-24,NA,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.945205479452055,0.963414634146341,0.883116883116883,0.930232558139535,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.971830985915493,0.918604651162791,0.944444444444444,0.898876404494382,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.911764705882353,0.772727272727273,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.160377358490566,0.235849056603774,0.10377358490566,0.330188679245283,0.188679245283019,0.320754716981132,0.160377358490566,0.942299709422997,0.835873983739837,0.872592924317062,0.740116279069768
"4","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX100 + d_VH_MEAN100 + d_VH_MED100 + d_VH_MIN100 + d_VH_SUM100 + d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,20,"noProc",4,0.869047619047619,0.823180455444281,0.792452830188679,0.718187311178248,0.702805877195442,0.865123998495199,0.311320754716981,2.55629073140888e-24,NA,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.945205479452055,0.963414634146341,0.883116883116883,0.930232558139535,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.971830985915493,0.918604651162791,0.944444444444444,0.898876404494382,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.911764705882353,0.772727272727273,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.160377358490566,0.235849056603774,0.10377358490566,0.330188679245283,0.188679245283019,0.320754716981132,0.160377358490566,0.942299709422997,0.835873983739837,0.872592924317062,0.740116279069768
"5","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX100 + d_VH_MEAN100 + d_VH_MED100 + d_VH_MIN100 + d_VH_SUM100 + d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,20,"noProc",5,0.861111111111111,0.81251992772877,0.792452830188679,0.718187311178248,0.702805877195442,0.865123998495199,0.311320754716981,2.55629073140888e-24,NA,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.945205479452055,0.963414634146341,0.883116883116883,0.930232558139535,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.971830985915493,0.918604651162791,0.944444444444444,0.898876404494382,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.911764705882353,0.772727272727273,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.160377358490566,0.235849056603774,0.10377358490566,0.330188679245283,0.188679245283019,0.320754716981132,0.160377358490566,0.942299709422997,0.835873983739837,0.872592924317062,0.740116279069768
"6","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX100 + d_VH_MEAN100 + d_VH_MED100 + d_VH_MIN100 + d_VH_SUM100 + d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,20,"noProc",6,0.857142857142857,0.807200238024397,0.792452830188679,0.718187311178248,0.702805877195442,0.865123998495199,0.311320754716981,2.55629073140888e-24,NA,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.945205479452055,0.963414634146341,0.883116883116883,0.930232558139535,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.971830985915493,0.918604651162791,0.944444444444444,0.898876404494382,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.911764705882353,0.772727272727273,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.160377358490566,0.235849056603774,0.10377358490566,0.330188679245283,0.188679245283019,0.320754716981132,0.160377358490566,0.942299709422997,0.835873983739837,0.872592924317062,0.740116279069768
"7","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX100 + d_VH_MEAN100 + d_VH_MED100 + d_VH_MIN100 + d_VH_SUM100 + d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,20,"noProc",7,0.869047619047619,0.8231127560462,0.792452830188679,0.718187311178248,0.702805877195442,0.865123998495199,0.311320754716981,2.55629073140888e-24,NA,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.945205479452055,0.963414634146341,0.883116883116883,0.930232558139535,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.971830985915493,0.918604651162791,0.944444444444444,0.898876404494382,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.911764705882353,0.772727272727273,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.160377358490566,0.235849056603774,0.10377358490566,0.330188679245283,0.188679245283019,0.320754716981132,0.160377358490566,0.942299709422997,0.835873983739837,0.872592924317062,0.740116279069768
"8","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX100 + d_VH_MEAN100 + d_VH_MED100 + d_VH_MIN100 + d_VH_SUM100 + d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,20,"noProc",8,0.861111111111111,0.812484054766562,0.792452830188679,0.718187311178248,0.702805877195442,0.865123998495199,0.311320754716981,2.55629073140888e-24,NA,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.945205479452055,0.963414634146341,0.883116883116883,0.930232558139535,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.971830985915493,0.918604651162791,0.944444444444444,0.898876404494382,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.911764705882353,0.772727272727273,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.160377358490566,0.235849056603774,0.10377358490566,0.330188679245283,0.188679245283019,0.320754716981132,0.160377358490566,0.942299709422997,0.835873983739837,0.872592924317062,0.740116279069768
"9","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX100 + d_VH_MEAN100 + d_VH_MED100 + d_VH_MIN100 + d_VH_SUM100 + d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,20,"noProc",9,0.861111111111111,0.81213657372894,0.792452830188679,0.718187311178248,0.702805877195442,0.865123998495199,0.311320754716981,2.55629073140888e-24,NA,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.945205479452055,0.963414634146341,0.883116883116883,0.930232558139535,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.971830985915493,0.918604651162791,0.944444444444444,0.898876404494382,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.911764705882353,0.772727272727273,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.160377358490566,0.235849056603774,0.10377358490566,0.330188679245283,0.188679245283019,0.320754716981132,0.160377358490566,0.942299709422997,0.835873983739837,0.872592924317062,0.740116279069768
"10","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX100 + d_VH_MEAN100 + d_VH_MED100 + d_VH_MIN100 + d_VH_SUM100 + d_VV_MAX100 + d_VV_MEAN100 + d_VV_MED100 + d_VV_MIN100 + d_VV_SUM100","rf",252,106,20,"noProc",10,0.853174603174603,0.801633903497575,0.792452830188679,0.718187311178248,0.702805877195442,0.865123998495199,0.311320754716981,2.55629073140888e-24,NA,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.945205479452055,0.963414634146341,0.883116883116883,0.930232558139535,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.971830985915493,0.918604651162791,0.944444444444444,0.898876404494382,0.885714285714286,0.85,0.735294117647059,0.647058823529412,0.939393939393939,0.708333333333333,0.862068965517241,0.55,0.911764705882353,0.772727272727273,0.793650793650794,0.594594594594595,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.292452830188679,0.160377358490566,0.235849056603774,0.10377358490566,0.330188679245283,0.188679245283019,0.320754716981132,0.160377358490566,0.942299709422997,0.835873983739837,0.872592924317062,0.740116279069768
