"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"11","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX100","rf",252,106,8,"noProc",11,0.773809523809524,0.693352119892404,0.754716981132076,0.66918737246429,0.661612843293347,0.833093609154465,0.311320754716981,8.15653278980201e-21,NA,0.909090909090909,0.625,0.793103448275862,0.6,0.972602739726027,0.963414634146341,0.87012987012987,0.872093023255814,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.959459459459459,0.897727272727273,0.917808219178082,0.903614457831325,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.909090909090909,0.625,0.793103448275862,0.6,0.923076923076923,0.714285714285714,0.741935483870968,0.558139534883721,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.141509433962264,0.216981132075472,0.113207547169811,0.30188679245283,0.169811320754717,0.311320754716981,0.216981132075472,0.940846824408468,0.794207317073171,0.831616659202866,0.736046511627907
"12","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX100","rf",252,106,8,"noProc",12,0.773809523809524,0.693260442470317,0.754716981132076,0.66918737246429,0.661612843293347,0.833093609154465,0.311320754716981,8.15653278980201e-21,NA,0.909090909090909,0.625,0.793103448275862,0.6,0.972602739726027,0.963414634146341,0.87012987012987,0.872093023255814,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.959459459459459,0.897727272727273,0.917808219178082,0.903614457831325,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.909090909090909,0.625,0.793103448275862,0.6,0.923076923076923,0.714285714285714,0.741935483870968,0.558139534883721,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.141509433962264,0.216981132075472,0.113207547169811,0.30188679245283,0.169811320754717,0.311320754716981,0.216981132075472,0.940846824408468,0.794207317073171,0.831616659202866,0.736046511627907
"13","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX100","rf",252,106,8,"noProc",13,0.773809523809524,0.693652960245692,0.754716981132076,0.66918737246429,0.661612843293347,0.833093609154465,0.311320754716981,8.15653278980201e-21,NA,0.909090909090909,0.625,0.793103448275862,0.6,0.972602739726027,0.963414634146341,0.87012987012987,0.872093023255814,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.959459459459459,0.897727272727273,0.917808219178082,0.903614457831325,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.909090909090909,0.625,0.793103448275862,0.6,0.923076923076923,0.714285714285714,0.741935483870968,0.558139534883721,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.141509433962264,0.216981132075472,0.113207547169811,0.30188679245283,0.169811320754717,0.311320754716981,0.216981132075472,0.940846824408468,0.794207317073171,0.831616659202866,0.736046511627907
"14","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX100","rf",252,106,8,"noProc",14,0.777777777777778,0.698821922485914,0.754716981132076,0.66918737246429,0.661612843293347,0.833093609154465,0.311320754716981,8.15653278980201e-21,NA,0.909090909090909,0.625,0.793103448275862,0.6,0.972602739726027,0.963414634146341,0.87012987012987,0.872093023255814,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.959459459459459,0.897727272727273,0.917808219178082,0.903614457831325,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.909090909090909,0.625,0.793103448275862,0.6,0.923076923076923,0.714285714285714,0.741935483870968,0.558139534883721,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.141509433962264,0.216981132075472,0.113207547169811,0.30188679245283,0.169811320754717,0.311320754716981,0.216981132075472,0.940846824408468,0.794207317073171,0.831616659202866,0.736046511627907
"15","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX100","rf",252,106,8,"noProc",15,0.777777777777778,0.698821922485914,0.754716981132076,0.66918737246429,0.661612843293347,0.833093609154465,0.311320754716981,8.15653278980201e-21,NA,0.909090909090909,0.625,0.793103448275862,0.6,0.972602739726027,0.963414634146341,0.87012987012987,0.872093023255814,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.959459459459459,0.897727272727273,0.917808219178082,0.903614457831325,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.909090909090909,0.625,0.793103448275862,0.6,0.923076923076923,0.714285714285714,0.741935483870968,0.558139534883721,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.141509433962264,0.216981132075472,0.113207547169811,0.30188679245283,0.169811320754717,0.311320754716981,0.216981132075472,0.940846824408468,0.794207317073171,0.831616659202866,0.736046511627907
"16","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX100","rf",252,106,8,"noProc",16,0.777777777777778,0.698731907262713,0.754716981132076,0.66918737246429,0.661612843293347,0.833093609154465,0.311320754716981,8.15653278980201e-21,NA,0.909090909090909,0.625,0.793103448275862,0.6,0.972602739726027,0.963414634146341,0.87012987012987,0.872093023255814,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.959459459459459,0.897727272727273,0.917808219178082,0.903614457831325,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.909090909090909,0.625,0.793103448275862,0.6,0.923076923076923,0.714285714285714,0.741935483870968,0.558139534883721,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.141509433962264,0.216981132075472,0.113207547169811,0.30188679245283,0.169811320754717,0.311320754716981,0.216981132075472,0.940846824408468,0.794207317073171,0.831616659202866,0.736046511627907
"17","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX100","rf",252,106,8,"noProc",17,0.777777777777778,0.698493750667664,0.754716981132076,0.66918737246429,0.661612843293347,0.833093609154465,0.311320754716981,8.15653278980201e-21,NA,0.909090909090909,0.625,0.793103448275862,0.6,0.972602739726027,0.963414634146341,0.87012987012987,0.872093023255814,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.959459459459459,0.897727272727273,0.917808219178082,0.903614457831325,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.909090909090909,0.625,0.793103448275862,0.6,0.923076923076923,0.714285714285714,0.741935483870968,0.558139534883721,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.141509433962264,0.216981132075472,0.113207547169811,0.30188679245283,0.169811320754717,0.311320754716981,0.216981132075472,0.940846824408468,0.794207317073171,0.831616659202866,0.736046511627907
"18","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX100","rf",252,106,8,"noProc",18,0.777777777777778,0.698821922485914,0.754716981132076,0.66918737246429,0.661612843293347,0.833093609154465,0.311320754716981,8.15653278980201e-21,NA,0.909090909090909,0.625,0.793103448275862,0.6,0.972602739726027,0.963414634146341,0.87012987012987,0.872093023255814,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.959459459459459,0.897727272727273,0.917808219178082,0.903614457831325,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.909090909090909,0.625,0.793103448275862,0.6,0.923076923076923,0.714285714285714,0.741935483870968,0.558139534883721,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.141509433962264,0.216981132075472,0.113207547169811,0.30188679245283,0.169811320754717,0.311320754716981,0.216981132075472,0.940846824408468,0.794207317073171,0.831616659202866,0.736046511627907
"19","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX100","rf",252,106,8,"noProc",19,0.781746031746032,0.704054833130485,0.754716981132076,0.66918737246429,0.661612843293347,0.833093609154465,0.311320754716981,8.15653278980201e-21,NA,0.909090909090909,0.625,0.793103448275862,0.6,0.972602739726027,0.963414634146341,0.87012987012987,0.872093023255814,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.959459459459459,0.897727272727273,0.917808219178082,0.903614457831325,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.909090909090909,0.625,0.793103448275862,0.6,0.923076923076923,0.714285714285714,0.741935483870968,0.558139534883721,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.141509433962264,0.216981132075472,0.113207547169811,0.30188679245283,0.169811320754717,0.311320754716981,0.216981132075472,0.940846824408468,0.794207317073171,0.831616659202866,0.736046511627907
"20","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX100","rf",252,106,8,"noProc",20,0.781746031746032,0.704345229207108,0.754716981132076,0.66918737246429,0.661612843293347,0.833093609154465,0.311320754716981,8.15653278980201e-21,NA,0.909090909090909,0.625,0.793103448275862,0.6,0.972602739726027,0.963414634146341,0.87012987012987,0.872093023255814,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.959459459459459,0.897727272727273,0.917808219178082,0.903614457831325,0.9375,0.833333333333333,0.696969696969697,0.521739130434783,0.909090909090909,0.625,0.793103448275862,0.6,0.923076923076923,0.714285714285714,0.741935483870968,0.558139534883721,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.283018867924528,0.141509433962264,0.216981132075472,0.113207547169811,0.30188679245283,0.169811320754717,0.311320754716981,0.216981132075472,0.940846824408468,0.794207317073171,0.831616659202866,0.736046511627907
