"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.sigma","results.C","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"11","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","svmRadial",252,106,20,"noProc",2.98023223876953e-08,1024,0.313492063492063,0,0.80188679245283,0.73011639185257,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.958904109589041,0.951219512195122,0.857142857142857,0.965116279069767,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.985915492957746,0.906976744186047,0.956521739130435,0.902173913043478,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.941176470588235,0.727272727272727,0.787878787878788,0.647058823529412,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.150943396226415,0.245283018867925,0.10377358490566,0.330188679245283,0.188679245283019,0.349056603773585,0.132075471698113,0.964300539643005,0.808943089430894,0.876847290640394,0.757558139534884
"12","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","svmRadial",252,106,20,"noProc",9.5367431640625e-07,1,0.313492063492063,0,0.80188679245283,0.73011639185257,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.958904109589041,0.951219512195122,0.857142857142857,0.965116279069767,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.985915492957746,0.906976744186047,0.956521739130435,0.902173913043478,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.941176470588235,0.727272727272727,0.787878787878788,0.647058823529412,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.150943396226415,0.245283018867925,0.10377358490566,0.330188679245283,0.188679245283019,0.349056603773585,0.132075471698113,0.964300539643005,0.808943089430894,0.876847290640394,0.757558139534884
"13","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","svmRadial",252,106,20,"noProc",9.5367431640625e-07,2,0.313492063492063,0,0.80188679245283,0.73011639185257,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.958904109589041,0.951219512195122,0.857142857142857,0.965116279069767,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.985915492957746,0.906976744186047,0.956521739130435,0.902173913043478,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.941176470588235,0.727272727272727,0.787878787878788,0.647058823529412,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.150943396226415,0.245283018867925,0.10377358490566,0.330188679245283,0.188679245283019,0.349056603773585,0.132075471698113,0.964300539643005,0.808943089430894,0.876847290640394,0.757558139534884
"14","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","svmRadial",252,106,20,"noProc",9.5367431640625e-07,4,0.313492063492063,0,0.80188679245283,0.73011639185257,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.958904109589041,0.951219512195122,0.857142857142857,0.965116279069767,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.985915492957746,0.906976744186047,0.956521739130435,0.902173913043478,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.941176470588235,0.727272727272727,0.787878787878788,0.647058823529412,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.150943396226415,0.245283018867925,0.10377358490566,0.330188679245283,0.188679245283019,0.349056603773585,0.132075471698113,0.964300539643005,0.808943089430894,0.876847290640394,0.757558139534884
"15","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","svmRadial",252,106,20,"noProc",9.5367431640625e-07,8,0.313492063492063,0,0.80188679245283,0.73011639185257,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.958904109589041,0.951219512195122,0.857142857142857,0.965116279069767,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.985915492957746,0.906976744186047,0.956521739130435,0.902173913043478,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.941176470588235,0.727272727272727,0.787878787878788,0.647058823529412,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.150943396226415,0.245283018867925,0.10377358490566,0.330188679245283,0.188679245283019,0.349056603773585,0.132075471698113,0.964300539643005,0.808943089430894,0.876847290640394,0.757558139534884
"16","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","svmRadial",252,106,20,"noProc",9.5367431640625e-07,16,0.313492063492063,0,0.80188679245283,0.73011639185257,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.958904109589041,0.951219512195122,0.857142857142857,0.965116279069767,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.985915492957746,0.906976744186047,0.956521739130435,0.902173913043478,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.941176470588235,0.727272727272727,0.787878787878788,0.647058823529412,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.150943396226415,0.245283018867925,0.10377358490566,0.330188679245283,0.188679245283019,0.349056603773585,0.132075471698113,0.964300539643005,0.808943089430894,0.876847290640394,0.757558139534884
"17","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","svmRadial",252,106,20,"noProc",9.5367431640625e-07,32,0.313492063492063,0,0.80188679245283,0.73011639185257,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.958904109589041,0.951219512195122,0.857142857142857,0.965116279069767,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.985915492957746,0.906976744186047,0.956521739130435,0.902173913043478,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.941176470588235,0.727272727272727,0.787878787878788,0.647058823529412,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.150943396226415,0.245283018867925,0.10377358490566,0.330188679245283,0.188679245283019,0.349056603773585,0.132075471698113,0.964300539643005,0.808943089430894,0.876847290640394,0.757558139534884
"18","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","svmRadial",252,106,20,"noProc",9.5367431640625e-07,64,0.313492063492063,0,0.80188679245283,0.73011639185257,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.958904109589041,0.951219512195122,0.857142857142857,0.965116279069767,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.985915492957746,0.906976744186047,0.956521739130435,0.902173913043478,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.941176470588235,0.727272727272727,0.787878787878788,0.647058823529412,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.150943396226415,0.245283018867925,0.10377358490566,0.330188679245283,0.188679245283019,0.349056603773585,0.132075471698113,0.964300539643005,0.808943089430894,0.876847290640394,0.757558139534884
"19","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","svmRadial",252,106,20,"noProc",9.5367431640625e-07,128,0.313492063492063,0,0.80188679245283,0.73011639185257,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.958904109589041,0.951219512195122,0.857142857142857,0.965116279069767,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.985915492957746,0.906976744186047,0.956521739130435,0.902173913043478,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.941176470588235,0.727272727272727,0.787878787878788,0.647058823529412,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.150943396226415,0.245283018867925,0.10377358490566,0.330188679245283,0.188679245283019,0.349056603773585,0.132075471698113,0.964300539643005,0.808943089430894,0.876847290640394,0.757558139534884
"20","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM","svmRadial",252,106,20,"noProc",9.5367431640625e-07,256,0.416666666666667,0.158626328699918,0.80188679245283,0.73011639185257,0.713247832375977,0.872981574762585,0.311320754716981,2.96893884760168e-25,NA,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.958904109589041,0.951219512195122,0.857142857142857,0.965116279069767,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.985915492957746,0.906976744186047,0.956521739130435,0.902173913043478,0.914285714285714,0.8,0.702702702702703,0.785714285714286,0.96969696969697,0.666666666666667,0.896551724137931,0.55,0.941176470588235,0.727272727272727,0.787878787878788,0.647058823529412,0.311320754716981,0.226415094339623,0.273584905660377,0.188679245283019,0.30188679245283,0.150943396226415,0.245283018867925,0.10377358490566,0.330188679245283,0.188679245283019,0.349056603773585,0.132075471698113,0.964300539643005,0.808943089430894,0.876847290640394,0.757558139534884
