"","model","Method","Count.Train","Count.Test","NoOfCoef","preProc","results.mtry","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa","test.AccuracyLower","test.AccuracyUpper","test.AccuracyNull","test.AccuracyPValue","test.McnemarPValue","testCM.Class.1.Sensitivity","testCM.Class.2.Sensitivity","testCM.Class.3.Sensitivity","testCM.Class.4.Sensitivity","testCM.Class.1.Specificity","testCM.Class.2.Specificity","testCM.Class.3.Specificity","testCM.Class.4.Specificity","testCM.Class.1.Pos.Pred.Value","testCM.Class.2.Pos.Pred.Value","testCM.Class.3.Pos.Pred.Value","testCM.Class.4.Pos.Pred.Value","testCM.Class.1.Neg.Pred.Value","testCM.Class.2.Neg.Pred.Value","testCM.Class.3.Neg.Pred.Value","testCM.Class.4.Neg.Pred.Value","testCM.Class.1.Precision","testCM.Class.2.Precision","testCM.Class.3.Precision","testCM.Class.4.Precision","testCM.Class.1.Recall","testCM.Class.2.Recall","testCM.Class.3.Recall","testCM.Class.4.Recall","testCM.Class.1.F1","testCM.Class.2.F1","testCM.Class.3.F1","testCM.Class.4.F1","testCM.Class.1.Prevalence","testCM.Class.2.Prevalence","testCM.Class.3.Prevalence","testCM.Class.4.Prevalence","testCM.Class.1.Detection.Rate","testCM.Class.2.Detection.Rate","testCM.Class.3.Detection.Rate","testCM.Class.4.Detection.Rate","testCM.Class.1.Detection.Prevalence","testCM.Class.2.Detection.Prevalence","testCM.Class.3.Detection.Prevalence","testCM.Class.4.Detection.Prevalence","testCM.Class.1.Balanced.Accuracy","testCM.Class.2.Balanced.Accuracy","testCM.Class.3.Balanced.Accuracy","testCM.Class.4.Balanced.Accuracy"
"11","Phase ~ VH2 + VH3","rf",1676,716,2,"noProc",11,0.742243436754177,0.656324582338902,0.773743016759777,0.698324022346369,0.74130292762599,0.803908554774154,0.25,1.22068223076926e-189,0.0645377795855048,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.895716945996276,0.962756052141527,0.895716945996276,0.94413407821229,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.925,0.92156862745098,0.910984848484848,0.940630797773655,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.746666666666667,0.808383233532934,0.719346049046321,0.825842696629214,0.25,0.25,0.25,0.25,0.195530726256983,0.18854748603352,0.184357541899441,0.205307262569832,0.273743016759777,0.216480446927374,0.262569832402235,0.247206703910615,0.838919925512104,0.858472998137803,0.81657355679702,0.88268156424581
"12","Phase ~ VH2 + VH3","rf",1676,716,2,"noProc",12,0.744630071599045,0.65950676213206,0.773743016759777,0.698324022346369,0.74130292762599,0.803908554774154,0.25,1.22068223076926e-189,0.0645377795855048,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.895716945996276,0.962756052141527,0.895716945996276,0.94413407821229,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.925,0.92156862745098,0.910984848484848,0.940630797773655,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.746666666666667,0.808383233532934,0.719346049046321,0.825842696629214,0.25,0.25,0.25,0.25,0.195530726256983,0.18854748603352,0.184357541899441,0.205307262569832,0.273743016759777,0.216480446927374,0.262569832402235,0.247206703910615,0.838919925512104,0.858472998137803,0.81657355679702,0.88268156424581
"13","Phase ~ VH2 + VH3","rf",1676,716,2,"noProc",13,0.744033412887828,0.658711217183771,0.773743016759777,0.698324022346369,0.74130292762599,0.803908554774154,0.25,1.22068223076926e-189,0.0645377795855048,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.895716945996276,0.962756052141527,0.895716945996276,0.94413407821229,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.925,0.92156862745098,0.910984848484848,0.940630797773655,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.746666666666667,0.808383233532934,0.719346049046321,0.825842696629214,0.25,0.25,0.25,0.25,0.195530726256983,0.18854748603352,0.184357541899441,0.205307262569832,0.273743016759777,0.216480446927374,0.262569832402235,0.247206703910615,0.838919925512104,0.858472998137803,0.81657355679702,0.88268156424581
"14","Phase ~ VH2 + VH3","rf",1676,716,2,"noProc",14,0.744033412887828,0.658711217183771,0.773743016759777,0.698324022346369,0.74130292762599,0.803908554774154,0.25,1.22068223076926e-189,0.0645377795855048,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.895716945996276,0.962756052141527,0.895716945996276,0.94413407821229,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.925,0.92156862745098,0.910984848484848,0.940630797773655,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.746666666666667,0.808383233532934,0.719346049046321,0.825842696629214,0.25,0.25,0.25,0.25,0.195530726256983,0.18854748603352,0.184357541899441,0.205307262569832,0.273743016759777,0.216480446927374,0.262569832402235,0.247206703910615,0.838919925512104,0.858472998137803,0.81657355679702,0.88268156424581
"15","Phase ~ VH2 + VH3","rf",1676,716,2,"noProc",15,0.744033412887828,0.658711217183771,0.773743016759777,0.698324022346369,0.74130292762599,0.803908554774154,0.25,1.22068223076926e-189,0.0645377795855048,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.895716945996276,0.962756052141527,0.895716945996276,0.94413407821229,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.925,0.92156862745098,0.910984848484848,0.940630797773655,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.746666666666667,0.808383233532934,0.719346049046321,0.825842696629214,0.25,0.25,0.25,0.25,0.195530726256983,0.18854748603352,0.184357541899441,0.205307262569832,0.273743016759777,0.216480446927374,0.262569832402235,0.247206703910615,0.838919925512104,0.858472998137803,0.81657355679702,0.88268156424581
"16","Phase ~ VH2 + VH3","rf",1676,716,2,"noProc",16,0.742840095465394,0.657120127287192,0.773743016759777,0.698324022346369,0.74130292762599,0.803908554774154,0.25,1.22068223076926e-189,0.0645377795855048,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.895716945996276,0.962756052141527,0.895716945996276,0.94413407821229,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.925,0.92156862745098,0.910984848484848,0.940630797773655,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.746666666666667,0.808383233532934,0.719346049046321,0.825842696629214,0.25,0.25,0.25,0.25,0.195530726256983,0.18854748603352,0.184357541899441,0.205307262569832,0.273743016759777,0.216480446927374,0.262569832402235,0.247206703910615,0.838919925512104,0.858472998137803,0.81657355679702,0.88268156424581
"17","Phase ~ VH2 + VH3","rf",1676,716,2,"noProc",17,0.747016706443914,0.662688941925219,0.773743016759777,0.698324022346369,0.74130292762599,0.803908554774154,0.25,1.22068223076926e-189,0.0645377795855048,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.895716945996276,0.962756052141527,0.895716945996276,0.94413407821229,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.925,0.92156862745098,0.910984848484848,0.940630797773655,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.746666666666667,0.808383233532934,0.719346049046321,0.825842696629214,0.25,0.25,0.25,0.25,0.195530726256983,0.18854748603352,0.184357541899441,0.205307262569832,0.273743016759777,0.216480446927374,0.262569832402235,0.247206703910615,0.838919925512104,0.858472998137803,0.81657355679702,0.88268156424581
"18","Phase ~ VH2 + VH3","rf",1676,716,2,"noProc",18,0.744630071599045,0.65950676213206,0.773743016759777,0.698324022346369,0.74130292762599,0.803908554774154,0.25,1.22068223076926e-189,0.0645377795855048,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.895716945996276,0.962756052141527,0.895716945996276,0.94413407821229,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.925,0.92156862745098,0.910984848484848,0.940630797773655,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.746666666666667,0.808383233532934,0.719346049046321,0.825842696629214,0.25,0.25,0.25,0.25,0.195530726256983,0.18854748603352,0.184357541899441,0.205307262569832,0.273743016759777,0.216480446927374,0.262569832402235,0.247206703910615,0.838919925512104,0.858472998137803,0.81657355679702,0.88268156424581
"19","Phase ~ VH2 + VH3","rf",1676,716,2,"noProc",19,0.744033412887828,0.658711217183771,0.773743016759777,0.698324022346369,0.74130292762599,0.803908554774154,0.25,1.22068223076926e-189,0.0645377795855048,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.895716945996276,0.962756052141527,0.895716945996276,0.94413407821229,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.925,0.92156862745098,0.910984848484848,0.940630797773655,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.746666666666667,0.808383233532934,0.719346049046321,0.825842696629214,0.25,0.25,0.25,0.25,0.195530726256983,0.18854748603352,0.184357541899441,0.205307262569832,0.273743016759777,0.216480446927374,0.262569832402235,0.247206703910615,0.838919925512104,0.858472998137803,0.81657355679702,0.88268156424581
"20","Phase ~ VH2 + VH3","rf",1676,716,2,"noProc",20,0.744630071599045,0.65950676213206,0.773743016759777,0.698324022346369,0.74130292762599,0.803908554774154,0.25,1.22068223076926e-189,0.0645377795855048,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.895716945996276,0.962756052141527,0.895716945996276,0.94413407821229,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.925,0.92156862745098,0.910984848484848,0.940630797773655,0.714285714285714,0.870967741935484,0.702127659574468,0.830508474576271,0.782122905027933,0.754189944134078,0.737430167597765,0.82122905027933,0.746666666666667,0.808383233532934,0.719346049046321,0.825842696629214,0.25,0.25,0.25,0.25,0.195530726256983,0.18854748603352,0.184357541899441,0.205307262569832,0.273743016759777,0.216480446927374,0.262569832402235,0.247206703910615,0.838919925512104,0.858472998137803,0.81657355679702,0.88268156424581
